epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,462.132,1.4285,1.61855,1.34259,0.69812,0.73932,0.75291,0.49746,1.32454,0.74209,1.2992,0.00333222,0.00333222,0.00333222
2,907.414,1.34198,0.94017,1.25159,0.75351,0.80652,0.81585,0.53778,1.29717,0.6868,1.27882,0.00659956,0.00659956,0.00659956
3,1347.96,1.35807,0.83971,1.26265,0.79758,0.79955,0.83066,0.552,1.29447,0.64543,1.28156,0.00980091,0.00980091,0.00980091
4,1785.83,1.3548,0.78663,1.26671,0.81059,0.84011,0.86039,0.58556,1.266,0.58552,1.2622,0.009703,0.009703,0.009703
5,2224.35,1.31477,0.73094,1.24006,0.83855,0.85035,0.88194,0.61235,1.24659,0.56211,1.24637,0.009604,0.009604,0.009604
6,2662.68,1.29586,0.70024,1.22916,0.86263,0.85873,0.89772,0.62677,1.22815,0.53362,1.23214,0.009505,0.009505,0.009505
7,3101.03,1.28123,0.6827,1.22344,0.84413,0.89461,0.90461,0.63561,1.21666,0.52042,1.22619,0.009406,0.009406,0.009406
8,3538.87,1.27097,0.6698,1.21624,0.86064,0.88124,0.91335,0.65074,1.19985,0.50837,1.21699,0.009307,0.009307,0.009307
9,3977.04,1.25827,0.65548,1.20687,0.86755,0.87816,0.91782,0.65575,1.19395,0.49667,1.20908,0.009208,0.009208,0.009208
10,4415.13,1.24792,0.64804,1.20079,0.86598,0.88134,0.91783,0.66116,1.18316,0.48995,1.20458,0.009109,0.009109,0.009109
11,4853.75,1.24464,0.64051,1.19972,0.86754,0.90568,0.92496,0.66861,1.17528,0.48469,1.19748,0.00901,0.00901,0.00901
12,5292.02,1.2364,0.63271,1.19381,0.88402,0.89682,0.92856,0.67101,1.16924,0.47661,1.19194,0.008911,0.008911,0.008911
13,5730.2,1.22889,0.62666,1.19058,0.88053,0.90112,0.93127,0.6745,1.16391,0.47409,1.1887,0.008812,0.008812,0.008812
14,6168.43,1.22743,0.62426,1.18962,0.89639,0.89715,0.93402,0.67698,1.15936,0.46853,1.18463,0.008713,0.008713,0.008713
15,6606.41,1.22101,0.61995,1.18579,0.88868,0.90767,0.93651,0.68243,1.15552,0.46579,1.1819,0.008614,0.008614,0.008614
16,7045.09,1.21707,0.61442,1.1823,0.8978,0.89894,0.9363,0.68294,1.1508,0.46239,1.1781,0.008515,0.008515,0.008515
17,7483.37,1.20824,0.61045,1.17895,0.89423,0.897,0.93715,0.68507,1.14691,0.46065,1.17586,0.008416,0.008416,0.008416
18,7922.04,1.20712,0.60802,1.17754,0.90348,0.893,0.93772,0.68729,1.14421,0.45855,1.17394,0.008317,0.008317,0.008317
19,8360.91,1.20363,0.60367,1.17376,0.9134,0.88877,0.9379,0.68917,1.1409,0.45632,1.17155,0.008218,0.008218,0.008218
20,8799.76,1.20089,0.59979,1.17418,0.91288,0.89051,0.93843,0.69068,1.13873,0.45493,1.17004,0.008119,0.008119,0.008119
21,9238.62,1.19531,0.5997,1.17057,0.90042,0.89745,0.93882,0.69036,1.13625,0.45334,1.16883,0.00802,0.00802,0.00802
22,9677.26,1.1916,0.59436,1.16952,0.89836,0.90097,0.9398,0.69079,1.13416,0.45185,1.16745,0.007921,0.007921,0.007921
23,10116.2,1.18922,0.59265,1.16655,0.89832,0.90264,0.94023,0.69193,1.1323,0.45053,1.16616,0.007822,0.007822,0.007822
24,10555,1.18845,0.59182,1.16613,0.8981,0.90114,0.94097,0.69314,1.13047,0.44937,1.16504,0.007723,0.007723,0.007723
25,10993.1,1.18304,0.5888,1.16356,0.90138,0.90231,0.94167,0.69388,1.1289,0.44822,1.16389,0.007624,0.007624,0.007624
26,11430.9,1.18129,0.58516,1.16252,0.90259,0.90338,0.94221,0.69511,1.12728,0.44708,1.16258,0.007525,0.007525,0.007525
27,11868.8,1.17832,0.58199,1.16034,0.90761,0.90378,0.94265,0.69705,1.12576,0.4459,1.16146,0.007426,0.007426,0.007426
28,12307.5,1.1738,0.57931,1.15794,0.90582,0.90436,0.94318,0.69715,1.12415,0.44502,1.16043,0.007327,0.007327,0.007327
29,12746.3,1.17205,0.57964,1.15613,0.90379,0.90786,0.94382,0.69802,1.12288,0.44383,1.15942,0.007228,0.007228,0.007228
