epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,8212.55,1.12466,0.55249,1.11746,0.92256,0.93141,0.96086,0.73003,1.03211,0.40456,1.08525,0.008515,0.008515,0.008515
17,8783.03,1.11883,0.55061,1.11037,0.92058,0.9292,0.96137,0.73057,1.02854,0.40345,1.08128,0.008416,0.008416,0.008416
18,9356.47,1.11857,0.55014,1.11194,0.92145,0.93216,0.96175,0.73378,1.02544,0.40247,1.0792,0.008317,0.008317,0.008317
19,9920.54,1.11746,0.54752,1.10965,0.92495,0.92822,0.96174,0.73356,1.02265,0.40135,1.0773,0.008218,0.008218,0.008218
20,10475.8,1.11467,0.54586,1.11101,0.92769,0.92892,0.96208,0.73434,1.02051,0.39986,1.07641,0.008119,0.008119,0.008119
21,11039.1,1.11157,0.54451,1.10976,0.93002,0.9292,0.96215,0.73478,1.01911,0.39932,1.07587,0.00802,0.00802,0.00802
22,11611.1,1.109,0.54389,1.10762,0.93143,0.92811,0.96213,0.73506,1.01776,0.39815,1.07525,0.007921,0.007921,0.007921
23,12176.3,1.10811,0.54213,1.10791,0.93036,0.92953,0.96244,0.73528,1.01672,0.39745,1.07483,0.007822,0.007822,0.007822
24,12704.4,1.10791,0.54101,1.10657,0.93045,0.92951,0.96251,0.73754,1.01576,0.39678,1.07444,0.007723,0.007723,0.007723
25,13242.6,1.10299,0.53861,1.10593,0.92988,0.93069,0.9628,0.73796,1.01448,0.39573,1.07402,0.007624,0.007624,0.007624
26,13812.6,1.10267,0.53757,1.10632,0.93329,0.92817,0.96323,0.73819,1.01367,0.39529,1.07359,0.007525,0.007525,0.007525
27,14375.7,1.09888,0.53377,1.10041,0.93225,0.93146,0.96346,0.73863,1.01268,0.39469,1.07292,0.007426,0.007426,0.007426
28,14939.9,1.0974,0.53331,1.1026,0.93421,0.92991,0.9635,0.73879,1.01167,0.39446,1.07272,0.007327,0.007327,0.007327
29,15421.4,1.09674,0.53358,1.10134,0.93521,0.92912,0.96362,0.73838,1.01085,0.39389,1.07226,0.007228,0.007228,0.007228
30,15916.5,1.09558,0.53157,1.10029,0.93352,0.93137,0.96361,0.73757,1.00997,0.39323,1.07166,0.007129,0.007129,0.007129
31,16450,1.09307,0.52965,1.09583,0.93239,0.93209,0.96353,0.73861,1.00911,0.39258,1.07081,0.00703,0.00703,0.00703
32,16925.2,1.09017,0.5292,1.09775,0.93265,0.9336,0.96373,0.73864,1.00828,0.39215,1.07035,0.006931,0.006931,0.006931
33,17365,1.08774,0.52742,1.09445,0.93309,0.93345,0.96375,0.73903,1.0073,0.39182,1.06965,0.006832,0.006832,0.006832
34,17824.3,1.08712,0.52576,1.09416,0.93187,0.93379,0.96393,0.73976,1.00652,0.39127,1.06909,0.006733,0.006733,0.006733
35,18317.8,1.08708,0.52509,1.09577,0.93295,0.93321,0.96413,0.73991,1.00555,0.39058,1.06845,0.006634,0.006634,0.006634
36,18848,1.08363,0.52362,1.09374,0.93246,0.93312,0.96449,0.74058,1.00449,0.38999,1.06787,0.006535,0.006535,0.006535
37,19351.3,1.08226,0.52287,1.0952,0.93131,0.93555,0.96479,0.7415,1.00348,0.38943,1.06736,0.006436,0.006436,0.006436
38,19790.7,1.08111,0.52122,1.09288,0.93127,0.93588,0.96504,0.74159,1.00239,0.38893,1.06687,0.006337,0.006337,0.006337
39,20237.8,1.08028,0.52179,1.09253,0.93053,0.93692,0.96532,0.74144,1.00156,0.38838,1.06639,0.006238,0.006238,0.006238
40,20772,1.0755,0.5182,1.08903,0.92774,0.93931,0.96553,0.74234,1.00075,0.38768,1.06594,0.006139,0.006139,0.006139
41,21305.9,1.07354,0.51771,1.08934,0.92657,0.94058,0.96576,0.74188,0.99976,0.38703,1.06536,0.00604,0.00604,0.00604
42,21762.9,1.07322,0.51731,1.08774,0.93067,0.93581,0.96609,0.74285,0.9986,0.3863,1.06467,0.005941,0.005941,0.005941
43,22202.8,1.06985,0.51387,1.08706,0.92885,0.94071,0.96638,0.7433,0.99755,0.38541,1.06391,0.005842,0.005842,0.005842
44,22724.6,1.0678,0.51362,1.08248,0.92764,0.94168,0.96673,0.74391,0.99651,0.38464,1.06297,0.005743,0.005743,0.005743
45,23173.3,1.06783,0.51307,1.08234,0.92892,0.9403,0.96701,0.74472,0.99553,0.38384,1.06212,0.005644,0.005644,0.005644
46,23717.7,1.06501,0.51022,1.08168,0.9311,0.93785,0.96725,0.74574,0.99453,0.38313,1.06123,0.005545,0.005545,0.005545
47,24261.8,1.06218,0.51135,1.08043,0.93343,0.93669,0.96744,0.74621,0.99335,0.38264,1.06024,0.005446,0.005446,0.005446
48,24796.5,1.06141,0.50832,1.07853,0.92575,0.94358,0.96775,0.74733,0.99212,0.38191,1.05934,0.005347,0.005347,0.005347
49,25329.9,1.06153,0.50794,1.07812,0.92601,0.94441,0.96806,0.74809,0.9908,0.38111,1.0583,0.005248,0.005248,0.005248
50,25863.8,1.05527,0.50517,1.07849,0.92921,0.94512,0.96831,0.74978,0.98951,0.38052,1.05738,0.005149,0.005149,0.005149
51,26366.7,1.05643,0.50511,1.07499,0.93183,0.94169,0.96853,0.74861,0.98829,0.37992,1.05647,0.00505,0.00505,0.00505
52,26807.5,1.05245,0.50255,1.07625,0.92607,0.94915,0.96885,0.74882,0.98691,0.3792,1.05568,0.004951,0.004951,0.004951
53,27248.8,1.05155,0.5025,1.07686,0.93055,0.94567,0.96902,0.74951,0.98572,0.37809,1.05507,0.004852,0.004852,0.004852
54,27690,1.04925,0.50023,1.07287,0.93073,0.94661,0.96931,0.75056,0.98447,0.37709,1.05426,0.004753,0.004753,0.004753
55,28147,1.04879,0.49986,1.07395,0.9298,0.94966,0.96949,0.75139,0.98324,0.37629,1.05347,0.004654,0.004654,0.004654
56,28633.9,1.04503,0.49786,1.07207,0.9298,0.95105,0.96984,0.75178,0.98195,0.37526,1.05255,0.004555,0.004555,0.004555
57,29121.6,1.04126,0.49531,1.07083,0.9322,0.94937,0.97011,0.75175,0.98076,0.37471,1.05195,0.004456,0.004456,0.004456
58,29624.5,1.03915,0.49374,1.07101,0.93403,0.94874,0.97062,0.75317,0.97937,0.37369,1.05132,0.004357,0.004357,0.004357
59,30067.6,1.03698,0.49395,1.06872,0.93361,0.94881,0.97082,0.75337,0.9781,0.37302,1.05063,0.004258,0.004258,0.004258
60,30510.8,1.03672,0.49101,1.06807,0.93273,0.95,0.97113,0.75323,0.97687,0.3721,1.04981,0.004159,0.004159,0.004159
61,30953.6,1.03272,0.49021,1.0651,0.93673,0.94803,0.97142,0.75374,0.97556,0.37108,1.04902,0.00406,0.00406,0.00406
62,31396.4,1.0294,0.48751,1.06551,0.93538,0.94817,0.97166,0.75521,0.97423,0.37026,1.04822,0.003961,0.003961,0.003961
63,31838.3,1.02872,0.48667,1.06435,0.93693,0.94741,0.97167,0.75628,0.97311,0.36989,1.04731,0.003862,0.003862,0.003862
64,32279,1.02678,0.48511,1.0621,0.93687,0.94677,0.9719,0.75669,0.97163,0.36895,1.04614,0.003763,0.003763,0.003763
65,32719.9,1.02326,0.48322,1.05982,0.93702,0.94753,0.97222,0.75723,0.97051,0.36802,1.04531,0.003664,0.003664,0.003664
66,33160.9,1.01989,0.48247,1.06103,0.93344,0.95077,0.97249,0.75762,0.96942,0.36729,1.04475,0.003565,0.003565,0.003565
67,33600.6,1.01909,0.48211,1.06101,0.93414,0.95035,0.97277,0.75696,0.96802,0.36699,1.04405,0.003466,0.003466,0.003466
68,34041.7,1.01489,0.47772,1.05952,0.93479,0.95045,0.97303,0.7588,0.96672,0.36628,1.04344,0.003367,0.003367,0.003367
69,34482.8,1.01445,0.4785,1.05783,0.93785,0.94969,0.97346,0.75847,0.96515,0.3657,1.04279,0.003268,0.003268,0.003268
70,34923.6,1.0112,0.47421,1.05511,0.9387,0.9482,0.97378,0.76015,0.96373,0.36469,1.04193,0.003169,0.003169,0.003169
71,35380.6,1.00784,0.47329,1.05043,0.93881,0.94951,0.97397,0.76115,0.96229,0.36375,1.04081,0.00307,0.00307,0.00307
72,35842,1.00427,0.47165,1.04998,0.93775,0.95179,0.97413,0.76244,0.96108,0.36308,1.03989,0.002971,0.002971,0.002971
73,36303.5,1.0037,0.47046,1.05067,0.9374,0.95292,0.97433,0.76229,0.95958,0.36228,1.03912,0.002872,0.002872,0.002872
74,36750.6,0.99739,0.46731,1.04981,0.9412,0.95244,0.97488,0.7631,0.95782,0.36133,1.03815,0.002773,0.002773,0.002773
75,37192,0.99493,0.46607,1.04859,0.94128,0.95319,0.97507,0.76378,0.95624,0.36048,1.03722,0.002674,0.002674,0.002674
76,37633.1,0.99391,0.46461,1.0475,0.94146,0.95412,0.97541,0.7638,0.9547,0.35965,1.03639,0.002575,0.002575,0.002575
77,38074.4,0.98659,0.45992,1.04445,0.94139,0.95397,0.97561,0.7642,0.95298,0.35853,1.03551,0.002476,0.002476,0.002476
78,38515.1,0.9856,0.46016,1.04386,0.94742,0.94714,0.97575,0.76503,0.95126,0.35771,1.03458,0.002377,0.002377,0.002377
79,38956,0.98405,0.45835,1.04226,0.94763,0.94801,0.97588,0.76567,0.94945,0.35689,1.03365,0.002278,0.002278,0.002278
80,39397.2,0.98034,0.457,1.04244,0.94938,0.94674,0.97602,0.76639,0.94784,0.35604,1.0328,0.002179,0.002179,0.002179
81,39838.6,0.97789,0.4555,1.04022,0.94686,0.95133,0.97634,0.76666,0.94614,0.35552,1.03194,0.00208,0.00208,0.00208
82,40279.7,0.97369,0.45346,1.0411,0.94656,0.95091,0.97647,0.76726,0.94436,0.35483,1.03118,0.001981,0.001981,0.001981
83,40720.8,0.96838,0.44995,1.03586,0.95099,0.94718,0.97655,0.768,0.9429,0.35404,1.03031,0.001882,0.001882,0.001882
84,41161.8,0.96657,0.44768,1.03476,0.95432,0.94216,0.97663,0.7689,0.94133,0.35335,1.02949,0.001783,0.001783,0.001783
85,41602.2,0.96353,0.44529,1.03427,0.95748,0.94338,0.97677,0.76883,0.93967,0.3528,1.02861,0.001684,0.001684,0.001684
86,42042.8,0.96007,0.44467,1.03321,0.95915,0.94371,0.97713,0.76919,0.93809,0.35214,1.02779,0.001585,0.001585,0.001585
87,42483.7,0.95745,0.44249,1.03226,0.96016,0.94288,0.97727,0.76969,0.93643,0.35132,1.02697,0.001486,0.001486,0.001486
88,42925,0.95142,0.43845,1.02877,0.95721,0.94498,0.97737,0.76976,0.93482,0.35097,1.02599,0.001387,0.001387,0.001387
89,43365.8,0.94886,0.43643,1.02838,0.94749,0.95151,0.97748,0.77176,0.93302,0.35047,1.02512,0.001288,0.001288,0.001288
90,43806.2,0.94368,0.43522,1.0242,0.94916,0.95533,0.97777,0.772,0.93146,0.34983,1.02413,0.001189,0.001189,0.001189
91,44283.7,0.91309,0.36961,1.02036,0.94894,0.95455,0.97794,0.77228,0.92948,0.34893,1.02312,0.00109,0.00109,0.00109
92,44719.1,0.90029,0.36369,1.01125,0.95122,0.95601,0.97805,0.77306,0.92726,0.34816,1.02174,0.000991,0.000991,0.000991
93,45154.8,0.8928,0.35952,1.00966,0.95221,0.95441,0.97804,0.77357,0.92501,0.34733,1.02046,0.000892,0.000892,0.000892
94,45590.3,0.88565,0.3558,1.00406,0.9513,0.95232,0.9783,0.77466,0.92256,0.3462,1.01888,0.000793,0.000793,0.000793
95,46026.2,0.87952,0.35311,1.00295,0.95115,0.95245,0.97865,0.77536,0.92011,0.34502,1.01747,0.000694,0.000694,0.000694
96,46461.6,0.87317,0.35033,0.9992,0.95173,0.95243,0.97883,0.77637,0.91755,0.34396,1.01597,0.000595,0.000595,0.000595
97,46897.3,0.86636,0.34698,0.99445,0.95164,0.9528,0.97906,0.77719,0.9148,0.343,1.0143,0.000496,0.000496,0.000496
98,47332.1,0.86169,0.34462,0.99415,0.95239,0.95291,0.97923,0.77738,0.91231,0.34198,1.01296,0.000397,0.000397,0.000397
