epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.89,0.9578,0.43864,1.03711,0.93543,0.94654,0.97167,0.75973,0.97171,0.37372,1.04875,0.00333222,0.00333222,0.00333222
2,907.121,1.00244,0.4695,1.05631,0.93171,0.9289,0.96203,0.73371,1.02718,0.40788,1.08081,0.00659956,0.00659956,0.00659956
3,1346.85,1.08455,0.52694,1.09735,0.91271,0.88447,0.9392,0.68498,1.10748,0.45885,1.12886,0.00980091,0.00980091,0.00980091
4,1784.42,1.16105,0.58492,1.13859,0.89014,0.88409,0.93003,0.67486,1.11598,0.46085,1.13708,0.009703,0.009703,0.009703
5,2222.28,1.1608,0.58425,1.13364,0.8946,0.90037,0.93884,0.68558,1.11245,0.45875,1.13096,0.009604,0.009604,0.009604
6,2660.2,1.15732,0.58031,1.13496,0.9057,0.90515,0.93941,0.69503,1.09699,0.45168,1.12414,0.009505,0.009505,0.009505
7,3098.57,1.15232,0.57621,1.13479,0.91304,0.91967,0.94955,0.70298,1.08822,0.44035,1.11731,0.009406,0.009406,0.009406
8,3545.72,1.15149,0.57312,1.13147,0.89757,0.9231,0.94745,0.70856,1.07544,0.43519,1.11092,0.009307,0.009307,0.009307
9,4114.03,1.14571,0.57006,1.12752,0.914,0.91749,0.95171,0.71151,1.06826,0.42934,1.1007,0.009208,0.009208,0.009208
10,4700.42,1.14169,0.56739,1.12527,0.90641,0.91924,0.95012,0.71056,1.0609,0.42377,1.10053,0.009109,0.009109,0.009109
11,5289.74,1.13993,0.5656,1.12202,0.92708,0.91296,0.95325,0.71871,1.05373,0.42314,1.09405,0.00901,0.00901,0.00901
12,5875.16,1.1345,0.56154,1.11768,0.89967,0.93776,0.95753,0.72043,1.04703,0.41546,1.0902,0.008911,0.008911,0.008911
13,6462.04,1.13022,0.55842,1.11794,0.92576,0.92522,0.95973,0.72609,1.0423,0.41331,1.08728,0.008812,0.008812,0.008812
14,7067.43,1.12975,0.55823,1.11794,0.92318,0.92688,0.96081,0.72969,1.03833,0.40979,1.08564,0.008713,0.008713,0.008713
15,7637.16,1.12644,0.555,1.11763,0.93795,0.91864,0.96181,0.73148,1.03578,0.40729,1.08592,0.008614,0.008614,0.008614
