epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,468.296,1.4285,1.61855,1.34259,0.69812,0.73932,0.75291,0.49746,1.32454,0.74209,1.2992,0.00333222,0.00333222,0.00333222
2,918.562,1.34198,0.94017,1.25159,0.75351,0.80652,0.81585,0.53778,1.29717,0.6868,1.27882,0.00659956,0.00659956,0.00659956
3,1363.58,1.35807,0.83971,1.26265,0.79758,0.79955,0.83066,0.552,1.29447,0.64543,1.28156,0.00980091,0.00980091,0.00980091
4,1807.22,1.3548,0.78663,1.26671,0.81059,0.84011,0.86039,0.58556,1.266,0.58552,1.2622,0.009703,0.009703,0.009703
5,2252.2,1.31477,0.73094,1.24006,0.83855,0.85035,0.88194,0.61235,1.24659,0.56211,1.24637,0.009604,0.009604,0.009604
6,2696.51,1.29586,0.70024,1.22916,0.86263,0.85873,0.89772,0.62677,1.22815,0.53362,1.23214,0.009505,0.009505,0.009505
